"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @TomHall: <U+0001F30B><U+26A1><U+FE0F>

Lava

and

Lightning 

<U+0001F30B><U+0001F4AB>

#ExtremeWeather #Volcano #Weather #Cool 
via @OrgPhysics pls follow

https://t.co/EULedG9Hta",FALSE,0,NA,2021-01-24 06:42:32,FALSE,NA,"1353231696003530754",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SusanneLeist",47,TRUE,FALSE,NA,NA
"Mt. St. Helens. #mountains #volcano #NaturePhotography #scenic #beautiful #amazing #incredible #canonphotography… https://t.co/PQhLBRa95S",FALSE,0,NA,2021-01-24 06:42:13,TRUE,NA,"1353231616416485376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DanielPatrickR2",0,FALSE,FALSE,NA,NA
"RT @NCTsmtown: [Un Cut] Take #19|‘Volcano’ Recording Behind the Scene

https://t.co/UEcTystTs3

#UnCut #Volcano
#NCT #NCTU
#<U+CC44><U+B110>NCT #Ch_NCT",FALSE,0,NA,2021-01-24 06:42:07,FALSE,NA,"1353231591762350080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jmlryu",25463,TRUE,FALSE,NA,NA
"RT @NCTsmtown: [Un Cut] Take #19|‘Volcano’ Recording Behind the Scene

https://t.co/UEcTystTs3

#UnCut #Volcano
#NCT #NCTU
#<U+CC44><U+B110>NCT #Ch_NCT",FALSE,0,NA,2021-01-24 06:26:28,FALSE,NA,"1353227650500685825",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tyongietracck",25463,TRUE,FALSE,NA,NA
"RT @TomHall: <U+0001F30B><U+26A1><U+FE0F>

Lava

and

Lightning 

<U+0001F30B><U+0001F4AB>

#ExtremeWeather #Volcano #Weather #Cool 
via @OrgPhysics pls follow

https://t.co/EULedG9Hta",FALSE,0,NA,2021-01-24 06:22:36,FALSE,NA,"1353226678357561344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BeHappyToday01",47,TRUE,FALSE,NA,NA
"RT @NCT_OFFICIAL_JP: [Un Cut] Take #19|‘Volcano’ Recording Behind the Scene

https://t.co/ICZWPVsnpg

#UnCut #Volcano
#NCT #NCTU
#<U+CC44><U+B110>NCT #Ch…",FALSE,0,NA,2021-01-24 06:20:03,FALSE,NA,"1353226034829733889",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_hadiseh_",6596,TRUE,FALSE,NA,NA
"RT @NCTsmtown: [Un Cut] Take #19|‘Volcano’ Recording Behind the Scene

https://t.co/UEcTystTs3

#UnCut #Volcano
#NCT #NCTU
#<U+CC44><U+B110>NCT #Ch_NCT",FALSE,0,NA,2021-01-24 06:16:19,FALSE,NA,"1353225098757427200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sunmoon0606",25463,TRUE,FALSE,NA,NA
"RT @MSHInstitute: Views and Brews is just around the corner. Catch it live on our Facebook page or subscribe to us on YouTube to see it the…",FALSE,0,NA,2021-01-24 06:16:04,FALSE,NA,"1353225032055496704",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mr_geologist",3,TRUE,FALSE,NA,NA
"RT @DaveWelldigger: There was so much to see today hiking in the Mt St Helens National Volcanic Monument.

@ForestServiceNW
@MtStHelensNVM…",FALSE,0,NA,2021-01-24 06:15:56,FALSE,NA,"1353225000187138048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mr_geologist",4,TRUE,FALSE,NA,NA
"RT @TomHall: <U+0001F30B><U+26A1><U+FE0F>

Lava

and

Lightning 

<U+0001F30B><U+0001F4AB>

#ExtremeWeather #Volcano #Weather #Cool 
via @OrgPhysics pls follow

https://t.co/EULedG9Hta",FALSE,0,NA,2021-01-24 06:15:29,FALSE,NA,"1353224885603094529",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PrinceRayman",47,TRUE,FALSE,NA,NA
"RT @TomHall: <U+0001F30B><U+26A1><U+FE0F>

Lava

and

Lightning 

<U+0001F30B><U+0001F4AB>

#ExtremeWeather #Volcano #Weather #Cool 
via @OrgPhysics pls follow

https://t.co/EULedG9Hta",FALSE,0,NA,2021-01-24 06:13:29,FALSE,NA,"1353224385071603714",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","lynda1insouth",47,TRUE,FALSE,NA,NA
