"id","keyword","text"
1351922696355983360,"flood","RT @RSOE_EDIS: Italy at Tue, 19 Jan 2021 22:01:29 +0000 | #Volcano Eruption event has been observed in Regione Siciliana, Italy | ..."
1351928973018730496,"volcano","RT @PlatformAdam: Update of SO2 emissions following the eruptive episode of 18 January of the #Etna #volcano. Here #Copernicus  #Sentinel5p<U+0085>"
1351933262243848192,"volcano","RT @NCTsmtown: [Un Cut] Take #19|<U+0091>Volcano<U+0092> Recording Behind the Scene

https://t.co/UEcTystTs3

#UnCut #Volcano
#NCT #NCTU
#<U+CC44><U+B110>NCT #Ch_NCT"
1351938227876352000,"earthquake","Our Trans-Sicily trip crosses this magnificent island from east to west.

https://t.co/bCKJS1n2ns

#sicily #italy<U+0085> https://t.co/mnMbUGNsQN"
1351943494487724032,"volcano","RT @volcanodiscover: #Merapi #volcano (Java, Indonesia): pyroclastic flow this morning - The eruption continues on its gradually increasing<U+0085>"
1351954935416582144,"earthquake","RT @NaturalSoluti20: Mixed boxes of our @HempChips now available #kush #amnesia #cheese #volcano #ukcannabiscommunity #uk420 #uk710 #scotla<U+0085>"
1351955754153111552,"volcano","RT @ChinaDaily: Italy<U+0092>s Mount Etna erupted on Monday, covering cars in a nearby village in volcanic ash. #volcano #Italy https://t.co/rpnnv<U+0085>"
1351966185273913344,"flood","RT @tonyveco: <U+0001F30B>The latest @CopernicusEU #Sentinel2 image of Jan.19 shows the #Etna #Volcano activity at the SE crater, where the lava flow<U+0085>"
1351967167315632128,"volcano","RT @PlatformAdam: Update of SO2 emissions following the eruptive episode of 18 January of the #Etna #volcano. Here #Copernicus  #Sentinel5p<U+0085>"
1351975375291744256,"volcano","RT @ChinaDaily: Italy<U+0092>s Mount Etna erupted on Monday, covering cars in a nearby village in volcanic ash. #volcano #Italy https://t.co/rpnnv<U+0085>"
1351985563591536640,"volcano","RT @volcanodiscover: Suwanosejima #volcano (Ryukyu Islands, Japan): strong explosion today - The explosive eruption of the volcano continue<U+0085>"
